id,name,phone,gender,birth_date,avatar_url
user_00001,Nguyễn Thị Như Quỳnh,0934733993,Nữ,1992-09-22,user_00001.jpg
user_00002,Lê Hoàng Quân,0282468775,Nam,2000-11-05,user_00002.jpg
user_00003,Đinh Văn Phượng,0924586545,Nam,1972-10-12,user_00003.jpg
user_00004,Nguyễn Echam Samuel,0998482638,Nam,1977-10-21,user_00004.jpg
user_00005,Nguyễn Xuân Sang,0273883822,Nam,2007-03-18,user_00005.jpg
user_00006,Lê Phú Quý,0958237847,Nam,1999-08-26,user_00006.jpg
user_00007,Lý Quốc Quyền,0242518511,Nam,2006-11-27,user_00007.jpg
user_00008,Bùi Minh Quân,0273132341,Nam,1983-04-11,user_00008.jpg
user_00009,Nguyễn Ngọc Sơn,0923199694,Nam,1992-07-16,user_00009.jpg
user_00010,Bùi Duy Qúy,0974464796,Nam,2002-11-04,user_00010.jpg
user_00011,Võ Hoàng Phương,0252976834,Nam,1989-08-02,user_00011.jpg
user_00012,Trần Minh Phương,0217861286,Nữ,2003-08-07,user_00012.jpg
user_00013,Phan Duy Quốc,0915877416,Nam,2005-10-04,user_00013.jpg
user_00014,Nguyễn Vũ Ngọc Quyên,0937461545,Nam,2001-10-31,user_00014.jpg
user_00015,Trương Trọng Quân,0988772414,Nam,2001-08-03,user_00015.jpg
user_00016,Phạm Minh Quân,0226788429,Nam,2003-06-07,user_00016.jpg
user_00017,Võ Thanh Sanh,0258941731,Nam,1986-12-14,user_00017.jpg
user_00018,Nguyễn Minh Phương,0954923969,Nam,2001-03-26,user_00018.jpg
user_00019,Nguyễn Viết Sơn,0213523714,Nam,1983-03-15,user_00019.jpg
user_00020,Vũ Hoàng Hải Sơn,0269669124,Nam,2007-01-31,user_00020.jpg
user_00021,Nguyễn Hải Sơn,0949581859,Nữ,1986-02-23,user_00021.jpg
user_00022,Nguyễn Vũ Trường Sơn,0942396638,Nam,1988-11-10,user_00022.jpg
user_00023,Trần Minh Sang,0277365912,Nam,2004-03-01,user_00023.jpg
user_00024,Nguyễn Trung Sơn,0285981529,Nam,1982-07-16,user_00024.jpg
user_00025,Lê Quang,0997418929,Nam,2001-02-17,user_00025.jpg
user_00026,Vũ Thị Phương,0944925468,Nam,1996-12-12,user_00026.jpg
user_00027,Nguyễn Văn Sơn,0262266352,Nam,1997-08-11,user_00027.jpg
user_00028,Lê Anh Sơn,0269641337,Nữ,2000-10-24,user_00028.jpg
user_00029,Võ Tiến Sĩ,0249255439,Nam,2000-02-24,user_00029.jpg
user_00030,Phan Đức Sơn,0929164489,Nữ,1995-04-18,user_00030.jpg
user_00031,Trần Thế Sơn,0233646757,Nam,1980-07-29,user_00031.jpg
